,donation,donation_amount,visit_id
0,1.0,600.0,5555694760
1,1.0,600.0,5555694761
2,1.0,562.0,5555694765
3,1.0,576.0,5555694767
4,1.0,518.0,5555694769
5,1.0,600.0,5555694770
6,1.0,450.0,5555694771
7,1.0,488.0,5555694773
8,1.0,600.0,5555694775
9,1.0,488.0,5555694778
10,1.0,461.0,5555694784
11,1.0,600.0,5555694785
12,1.0,525.0,5555694789
13,1.0,600.0,5555694793
14,1.0,525.0,5555694795
15,1.0,600.0,5555694797
16,1.0,525.0,5555694803
17,1.0,300.0,5555694804
18,1.0,578.0,5555694806
19,1.0,463.0,5555694811
20,1.0,600.0,5555694812
21,1.0,600.0,5555694814
22,1.0,461.0,5555694821
23,1.0,600.0,5555694829
24,1.0,488.0,5555694831
25,1.0,600.0,5555694833
26,1.0,562.0,5555694835
27,1.0,525.0,5555694837
28,1.0,488.0,5555694843
29,1.0,450.0,5555694846
30,1.0,361.0,5555694847
31,1.0,488.0,5555694848
32,1.0,600.0,5555694853
33,1.0,565.0,5555694854
34,1.0,562.0,5555694865
35,1.0,488.0,5555694866
36,1.0,525.0,5555694872
37,1.0,525.0,5555694873
38,1.0,562.0,5555694880
39,1.0,562.0,5555694881
40,1.0,600.0,5555694885
41,1.0,600.0,5555694888
42,1.0,525.0,5555694889
43,1.0,600.0,5555694891
44,1.0,600.0,5555694897
45,1.0,496.0,5555694901
46,1.0,488.0,5555694906
47,1.0,450.0,5555694908
48,1.0,562.0,5555694911
49,1.0,525.0,5555694914
50,1.0,525.0,5555694921
51,1.0,525.0,5555694923
52,1.0,600.0,5555694924
53,1.0,562.0,5555694925
54,1.0,562.0,5555694928
55,1.0,600.0,5555694931
56,1.0,525.0,5555694932
57,1.0,461.0,5555694933
58,1.0,285.0,5555694948
59,1.0,600.0,5555694951
60,1.0,557.0,5555694954
61,1.0,562.0,5555694955
62,1.0,600.0,5555694956
63,1.0,600.0,5555694958
64,1.0,488.0,5555694963
65,1.0,589.0,5555694965
66,1.0,525.0,5555694966
67,1.0,562.0,5555694969
68,1.0,518.0,5555694973
69,1.0,562.0,5555694977
70,1.0,444.0,5555694978
71,1.0,562.0,5555694981
72,1.0,484.0,5555694982
73,1.0,479.0,5555694984
74,1.0,600.0,5555694985
75,1.0,525.0,5555694987
76,1.0,236.0,5555694988
77,1.0,468.0,5555694991
78,1.0,488.0,5555694992
79,1.0,600.0,5555694994
80,1.0,459.0,5555694995
81,1.0,563.0,5555694997
82,1.0,488.0,5555694999
83,1.0,450.0,5555695000
84,1.0,488.0,5555695007
85,1.0,525.0,5555695013
86,1.0,488.0,5555695019
87,1.0,600.0,5555695021
88,1.0,287.0,5555695026
89,1.0,488.0,5555695027
90,1.0,525.0,5555695031
91,1.0,450.0,5555695034
92,1.0,525.0,5555695035
93,1.0,600.0,5555695039
94,1.0,450.0,5555695051
95,1.0,559.0,5555695052
96,1.0,525.0,5555695057
97,1.0,562.0,5555695059
98,1.0,488.0,5555695064
99,1.0,450.0,5555695074
100,1.0,600.0,5555695075
101,1.0,562.0,5555695076
102,1.0,444.0,5555695080
103,1.0,488.0,5555695081
104,1.0,525.0,5555695085
105,1.0,450.0,5555695087
106,1.0,450.0,5555695090
107,1.0,483.0,5555695093
108,1.0,600.0,5555695094
109,1.0,525.0,5555695096
110,1.0,597.0,5555695097
111,1.0,600.0,5555695098
112,1.0,508.0,5555695099
113,1.0,525.0,5555695101
114,1.0,600.0,5555695106
115,1.0,450.0,5555695111
116,1.0,525.0,5555695113
117,1.0,508.0,5555695117
118,1.0,600.0,5555695120
119,1.0,532.0,5555695125
120,1.0,478.0,5555695126
121,1.0,528.0,5555695127
122,1.0,450.0,5555695128
123,1.0,469.0,5555695131
124,1.0,488.0,5555695135
125,1.0,423.0,5555695137
126,1.0,600.0,5555695139
127,1.0,600.0,5555695140
128,1.0,408.0,5555695141
129,1.0,488.0,5555695148
130,1.0,525.0,5555695151
131,1.0,450.0,5555695153
132,1.0,487.0,5555695162
133,1.0,600.0,5555695163
134,1.0,600.0,5555695166
135,1.0,562.0,5555695167
136,1.0,349.0,5555695170
137,1.0,525.0,5555695173
138,1.0,450.0,5555695180
139,1.0,600.0,5555695181
140,1.0,462.0,5555695184
141,1.0,562.0,5555695185
142,1.0,486.0,5555695186
143,1.0,562.0,5555695190
144,1.0,525.0,5555695191
145,1.0,597.0,5555695194
146,1.0,562.0,5555695196
147,1.0,539.0,5555695197
148,1.0,562.0,5555695205
149,1.0,450.0,5555695206
150,1.0,568.0,5555695209
151,1.0,600.0,5555695210
152,1.0,523.0,5555695214
153,1.0,466.0,5555695218
154,1.0,541.0,5555695221
155,1.0,525.0,5555695225
156,1.0,420.0,5555695229
157,1.0,418.0,5555695230
158,1.0,525.0,5555695234
159,1.0,481.0,5555695235
160,1.0,562.0,5555695239
161,1.0,600.0,5555695242
162,1.0,600.0,5555695248
163,1.0,525.0,5555695250
164,1.0,597.0,5555695254
165,1.0,533.0,5555695256
166,1.0,425.0,5555695258
167,1.0,568.0,5555695261
168,1.0,450.0,5555695263
169,1.0,525.0,5555695267
170,1.0,450.0,5555695268
171,1.0,488.0,5555695271
172,1.0,525.0,5555695276
173,1.0,450.0,5555695280
174,1.0,488.0,5555695283
175,1.0,569.0,5555695284
176,1.0,488.0,5555695285
177,1.0,600.0,5555695294
178,1.0,450.0,5555695295
179,1.0,562.0,5555695296
180,1.0,466.0,5555695297
181,1.0,525.0,5555695298
182,1.0,593.0,5555695306
183,1.0,40.0,5555695307
184,1.0,600.0,5555695309
185,1.0,525.0,5555695312
186,1.0,566.0,5555695315
187,1.0,509.0,5555695318
188,1.0,600.0,5555695319
189,1.0,562.0,5555695322
190,1.0,272.0,5555695330
191,1.0,572.0,5555695332
192,1.0,488.0,5555695342
193,1.0,562.0,5555695345
194,1.0,488.0,5555695349
195,1.0,395.0,5555695351
196,1.0,498.0,5555695353
197,1.0,600.0,5555695365
198,1.0,594.0,5555695366
199,1.0,600.0,5555695367
200,1.0,562.0,5555695371
201,1.0,562.0,5555695372
202,1.0,520.0,5555695377
203,1.0,450.0,5555695378
204,1.0,600.0,5555695380
205,1.0,525.0,5555695382
206,1.0,600.0,5555695383
207,1.0,492.0,5555695385
208,1.0,562.0,5555695386
209,1.0,597.0,5555695388
210,1.0,198.0,5555695390
211,1.0,450.0,5555695391
212,1.0,562.0,5555695392
213,1.0,500.0,5555695393
214,1.0,329.0,5555695394
215,1.0,537.0,5555695398
216,1.0,593.0,5555695403
217,1.0,600.0,5555695408
218,1.0,600.0,5555695413
219,1.0,600.0,5555695414
220,1.0,600.0,5555695417
221,1.0,525.0,5555695421
222,1.0,443.0,5555695425
223,1.0,600.0,5555695429
224,1.0,600.0,5555695434
225,1.0,525.0,5555695436
226,1.0,525.0,5555695438
227,1.0,600.0,5555695441
228,1.0,525.0,5555695442
229,1.0,529.0,5555695445
230,1.0,600.0,5555695446
231,1.0,450.0,5555695447
232,1.0,525.0,5555695448
233,1.0,600.0,5555695449
234,1.0,488.0,5555695451
235,1.0,565.0,5555695460
236,1.0,450.0,5555695461
237,1.0,600.0,5555695468
238,1.0,414.0,5555695473
239,1.0,600.0,5555695474
240,1.0,488.0,5555695475
241,1.0,468.0,5555695478
242,1.0,525.0,5555695481
243,1.0,488.0,5555695482
244,1.0,469.0,5555695484
245,1.0,600.0,5555695490
246,1.0,562.0,5555695491
247,1.0,525.0,5555695492
248,1.0,507.0,5555695494
249,1.0,488.0,5555695501
250,1.0,525.0,5555695508
251,1.0,562.0,5555695513
252,1.0,288.0,5555695518
253,1.0,488.0,5555695520
254,1.0,572.0,5555695524
255,1.0,450.0,5555695526
256,1.0,600.0,5555695529
257,1.0,600.0,5555695534
258,1.0,490.0,5555695546
259,1.0,450.0,5555695549
260,1.0,450.0,5555695552
261,1.0,525.0,5555695554
262,1.0,600.0,5555695555
263,1.0,600.0,5555695558
264,1.0,600.0,5555695559
265,1.0,488.0,5555695562
266,1.0,539.0,5555695564
267,1.0,477.0,5555695566
268,1.0,488.0,5555695569
269,1.0,600.0,5555695573
270,1.0,600.0,5555695574
271,1.0,600.0,5555695575
272,1.0,2.0,5555695576
273,1.0,562.0,5555695579
274,1.0,562.0,5555695580
275,1.0,309.0,5555695581
276,1.0,600.0,5555695583
277,1.0,562.0,5555695586
278,1.0,450.0,5555695589
279,1.0,525.0,5555695596
280,1.0,461.0,5555695597
281,1.0,450.0,5555695602
282,1.0,570.0,5555695604
283,1.0,525.0,5555695606
284,1.0,600.0,5555695607
285,1.0,488.0,5555695610
286,1.0,531.0,5555695613
287,1.0,450.0,5555695617
288,1.0,525.0,5555695618
289,1.0,600.0,5555695623
290,1.0,525.0,5555695625
291,1.0,434.0,5555695626
292,1.0,450.0,5555695628
293,1.0,600.0,5555695629
294,1.0,562.0,5555695633
295,1.0,488.0,5555695641
296,1.0,600.0,5555695647
297,1.0,600.0,5555695651
298,1.0,450.0,5555695658
299,1.0,514.0,5555695659
300,1.0,525.0,5555695664
301,1.0,482.0,5555695665
302,1.0,488.0,5555695666
303,1.0,488.0,5555695671
304,1.0,600.0,5555695675
305,1.0,600.0,5555695677
306,1.0,230.0,5555695682
307,1.0,525.0,5555695683
308,1.0,450.0,5555695684
309,1.0,450.0,5555695685
310,1.0,562.0,5555695689
