,campaign,session_id
0,,5555694754
1,,5555694755
2,1.0,5555694756
3,1.0,5555694757
4,1.0,5555694758
5,,5555694759
6,1.0,5555694760
7,1.0,5555694761
8,,5555694762
9,,5555694763
10,,5555694764
11,1.0,5555694765
12,1.0,5555694766
13,1.0,5555694767
14,,5555694768
15,1.0,5555694769
16,1.0,5555694770
17,1.0,5555694771
18,,5555694772
19,1.0,5555694773
20,,5555694774
21,1.0,5555694775
22,1.0,5555694776
23,,5555694777
24,1.0,5555694778
25,1.0,5555694779
26,1.0,5555694780
27,,5555694781
28,1.0,5555694782
29,1.0,5555694783
30,,5555694784
31,1.0,5555694785
32,1.0,5555694786
33,,5555694787
34,,5555694788
35,1.0,5555694789
36,1.0,5555694790
37,1.0,5555694791
38,,5555694792
39,1.0,5555694793
40,,5555694794
41,1.0,5555694795
42,1.0,5555694796
43,1.0,5555694797
44,1.0,5555694798
45,,5555694799
46,1.0,5555694800
47,,5555694801
48,1.0,5555694802
49,1.0,5555694803
50,1.0,5555694804
51,1.0,5555694805
52,1.0,5555694806
53,1.0,5555694807
54,,5555694808
55,,5555694809
56,1.0,5555694810
57,1.0,5555694811
58,,5555694812
59,,5555694813
60,1.0,5555694814
61,1.0,5555694815
62,1.0,5555694816
63,1.0,5555694817
64,1.0,5555694818
65,,5555694819
66,,5555694820
67,,5555694821
68,,5555694822
69,,5555694823
70,,5555694824
71,1.0,5555694825
72,1.0,5555694826
73,,5555694827
74,1.0,5555694828
75,1.0,5555694829
76,,5555694830
77,1.0,5555694831
78,,5555694832
79,1.0,5555694833
80,,5555694834
81,1.0,5555694835
82,,5555694836
83,1.0,5555694837
84,,5555694838
85,1.0,5555694839
86,,5555694840
87,1.0,5555694841
88,1.0,5555694842
89,1.0,5555694843
90,,5555694844
91,,5555694845
92,1.0,5555694846
93,1.0,5555694847
94,1.0,5555694848
95,1.0,5555694849
96,,5555694850
97,1.0,5555694851
98,1.0,5555694852
99,1.0,5555694853
100,1.0,5555694854
101,1.0,5555694855
102,1.0,5555694856
103,1.0,5555694857
104,,5555694858
105,1.0,5555694859
106,1.0,5555694860
107,,5555694861
108,,5555694862
109,,5555694863
110,1.0,5555694864
111,1.0,5555694865
112,1.0,5555694866
113,1.0,5555694867
114,,5555694868
115,1.0,5555694869
116,1.0,5555694870
117,,5555694871
118,1.0,5555694872
119,1.0,5555694873
120,1.0,5555694874
121,1.0,5555694875
122,,5555694876
123,,5555694877
124,1.0,5555694878
125,1.0,5555694879
126,1.0,5555694880
127,1.0,5555694881
128,,5555694882
129,,5555694883
130,1.0,5555694884
131,1.0,5555694885
132,,5555694886
133,1.0,5555694887
134,1.0,5555694888
135,1.0,5555694889
136,,5555694890
137,1.0,5555694891
138,,5555694892
139,,5555694893
140,1.0,5555694894
141,1.0,5555694895
142,,5555694896
143,1.0,5555694897
144,1.0,5555694898
145,1.0,5555694899
146,,5555694900
147,1.0,5555694901
148,1.0,5555694902
149,,5555694903
150,,5555694904
151,,5555694905
152,1.0,5555694906
153,1.0,5555694907
154,1.0,5555694908
155,,5555694909
156,1.0,5555694910
157,1.0,5555694911
158,,5555694912
159,1.0,5555694913
160,1.0,5555694914
161,,5555694915
162,,5555694916
163,,5555694917
164,1.0,5555694918
165,1.0,5555694919
166,,5555694920
167,1.0,5555694921
168,1.0,5555694922
169,1.0,5555694923
170,1.0,5555694924
171,1.0,5555694925
172,,5555694926
173,1.0,5555694927
174,1.0,5555694928
175,,5555694929
176,1.0,5555694930
177,1.0,5555694931
178,1.0,5555694932
179,1.0,5555694933
180,,5555694934
181,1.0,5555694935
182,,5555694936
183,1.0,5555694937
184,1.0,5555694938
185,,5555694939
186,1.0,5555694940
187,1.0,5555694941
188,1.0,5555694942
189,1.0,5555694943
190,1.0,5555694944
191,,5555694945
192,1.0,5555694946
193,,5555694947
194,1.0,5555694948
195,,5555694949
196,1.0,5555694950
197,1.0,5555694951
198,1.0,5555694952
199,1.0,5555694953
200,1.0,5555694954
201,1.0,5555694955
202,1.0,5555694956
203,1.0,5555694957
204,1.0,5555694958
205,1.0,5555694959
206,1.0,5555694960
207,1.0,5555694961
208,1.0,5555694962
209,1.0,5555694963
210,,5555694964
211,1.0,5555694965
212,1.0,5555694966
213,1.0,5555694967
214,1.0,5555694968
215,1.0,5555694969
216,,5555694970
217,1.0,5555694971
218,,5555694972
219,1.0,5555694973
220,,5555694974
221,,5555694975
222,1.0,5555694976
223,1.0,5555694977
224,1.0,5555694978
225,1.0,5555694979
226,1.0,5555694980
227,1.0,5555694981
228,,5555694982
229,1.0,5555694983
230,1.0,5555694984
231,1.0,5555694985
232,1.0,5555694986
233,1.0,5555694987
234,1.0,5555694988
235,1.0,5555694989
236,,5555694990
237,1.0,5555694991
238,1.0,5555694992
239,,5555694993
240,1.0,5555694994
241,1.0,5555694995
242,1.0,5555694996
243,1.0,5555694997
244,1.0,5555694998
245,1.0,5555694999
246,1.0,5555695000
247,,5555695001
248,,5555695002
249,,5555695003
250,1.0,5555695004
251,1.0,5555695005
252,1.0,5555695006
253,1.0,5555695007
254,,5555695008
255,1.0,5555695009
256,1.0,5555695010
257,1.0,5555695011
258,1.0,5555695012
259,1.0,5555695013
260,,5555695014
261,,5555695015
262,1.0,5555695016
263,1.0,5555695017
264,1.0,5555695018
265,1.0,5555695019
266,1.0,5555695020
267,1.0,5555695021
268,1.0,5555695022
269,,5555695023
270,,5555695024
271,,5555695025
272,1.0,5555695026
273,1.0,5555695027
274,,5555695028
275,,5555695029
276,1.0,5555695030
277,1.0,5555695031
278,1.0,5555695032
279,1.0,5555695033
280,1.0,5555695034
281,1.0,5555695035
282,,5555695036
283,,5555695037
284,1.0,5555695038
285,1.0,5555695039
286,,5555695040
287,1.0,5555695041
288,,5555695042
289,,5555695043
290,,5555695044
291,1.0,5555695045
292,1.0,5555695046
293,1.0,5555695047
294,1.0,5555695048
295,,5555695049
296,1.0,5555695050
297,1.0,5555695051
298,1.0,5555695052
299,,5555695053
300,,5555695054
301,,5555695055
302,,5555695056
303,1.0,5555695057
304,1.0,5555695058
305,1.0,5555695059
306,,5555695060
307,1.0,5555695061
308,,5555695062
309,,5555695063
310,1.0,5555695064
311,,5555695065
312,1.0,5555695066
313,1.0,5555695067
314,1.0,5555695068
315,1.0,5555695069
316,1.0,5555695070
317,,5555695071
318,,5555695072
319,,5555695073
320,1.0,5555695074
321,1.0,5555695075
322,1.0,5555695076
323,,5555695077
324,1.0,5555695078
325,1.0,5555695079
326,1.0,5555695080
327,1.0,5555695081
328,,5555695082
329,1.0,5555695083
330,,5555695084
331,1.0,5555695085
332,1.0,5555695086
333,1.0,5555695087
334,,5555695088
335,,5555695089
336,1.0,5555695090
337,1.0,5555695091
338,,5555695092
339,1.0,5555695093
340,1.0,5555695094
341,,5555695095
342,1.0,5555695096
343,1.0,5555695097
344,1.0,5555695098
345,1.0,5555695099
346,1.0,5555695100
347,1.0,5555695101
348,1.0,5555695102
349,,5555695103
350,,5555695104
351,,5555695105
352,1.0,5555695106
353,1.0,5555695107
354,,5555695108
355,,5555695109
356,1.0,5555695110
357,1.0,5555695111
358,1.0,5555695112
359,1.0,5555695113
360,,5555695114
361,1.0,5555695115
362,,5555695116
363,1.0,5555695117
364,,5555695118
365,1.0,5555695119
366,1.0,5555695120
367,1.0,5555695121
368,,5555695122
369,,5555695123
370,,5555695124
371,1.0,5555695125
372,,5555695126
373,1.0,5555695127
374,1.0,5555695128
375,1.0,5555695129
376,,5555695130
377,1.0,5555695131
378,,5555695132
379,,5555695133
380,1.0,5555695134
381,1.0,5555695135
382,1.0,5555695136
383,1.0,5555695137
384,1.0,5555695138
385,1.0,5555695139
386,1.0,5555695140
387,1.0,5555695141
388,1.0,5555695142
389,1.0,5555695143
390,,5555695144
391,,5555695145
392,1.0,5555695146
393,,5555695147
394,1.0,5555695148
395,1.0,5555695149
396,1.0,5555695150
397,1.0,5555695151
398,1.0,5555695152
399,1.0,5555695153
400,,5555695154
401,,5555695155
402,,5555695156
403,1.0,5555695157
404,,5555695158
405,,5555695159
406,,5555695160
407,1.0,5555695161
408,1.0,5555695162
409,1.0,5555695163
410,,5555695164
411,1.0,5555695165
412,1.0,5555695166
413,1.0,5555695167
414,,5555695168
415,1.0,5555695169
416,1.0,5555695170
417,1.0,5555695171
418,,5555695172
419,1.0,5555695173
420,1.0,5555695174
421,1.0,5555695175
422,1.0,5555695176
423,1.0,5555695177
424,1.0,5555695178
425,1.0,5555695179
426,1.0,5555695180
427,1.0,5555695181
428,,5555695182
429,1.0,5555695183
430,1.0,5555695184
431,1.0,5555695185
432,1.0,5555695186
433,1.0,5555695187
434,,5555695188
435,1.0,5555695189
436,1.0,5555695190
437,1.0,5555695191
438,,5555695192
439,,5555695193
440,1.0,5555695194
441,,5555695195
442,1.0,5555695196
443,1.0,5555695197
444,1.0,5555695198
445,1.0,5555695199
446,,5555695200
447,,5555695201
448,1.0,5555695202
449,1.0,5555695203
450,,5555695204
451,1.0,5555695205
452,1.0,5555695206
453,,5555695207
454,1.0,5555695208
455,1.0,5555695209
456,1.0,5555695210
457,1.0,5555695211
458,1.0,5555695212
459,1.0,5555695213
460,,5555695214
461,1.0,5555695215
462,,5555695216
463,1.0,5555695217
464,1.0,5555695218
465,,5555695219
466,,5555695220
467,1.0,5555695221
468,1.0,5555695222
469,,5555695223
470,,5555695224
471,1.0,5555695225
472,,5555695226
473,1.0,5555695227
474,,5555695228
475,1.0,5555695229
476,1.0,5555695230
477,1.0,5555695231
478,,5555695232
479,,5555695233
480,1.0,5555695234
481,,5555695235
482,1.0,5555695236
483,1.0,5555695237
484,,5555695238
485,1.0,5555695239
486,1.0,5555695240
487,,5555695241
488,1.0,5555695242
489,,5555695243
490,1.0,5555695244
491,1.0,5555695245
492,1.0,5555695246
493,,5555695247
494,1.0,5555695248
495,,5555695249
496,1.0,5555695250
497,,5555695251
498,1.0,5555695252
499,,5555695253
500,1.0,5555695254
501,,5555695255
502,1.0,5555695256
503,1.0,5555695257
504,1.0,5555695258
505,1.0,5555695259
506,1.0,5555695260
507,1.0,5555695261
508,1.0,5555695262
509,1.0,5555695263
510,,5555695264
511,1.0,5555695265
512,,5555695266
513,1.0,5555695267
514,1.0,5555695268
515,,5555695269
516,1.0,5555695270
517,1.0,5555695271
518,1.0,5555695272
519,1.0,5555695273
520,1.0,5555695274
521,,5555695275
522,1.0,5555695276
523,,5555695277
524,1.0,5555695278
525,,5555695279
526,1.0,5555695280
527,1.0,5555695281
528,1.0,5555695282
529,1.0,5555695283
530,1.0,5555695284
531,1.0,5555695285
532,,5555695286
533,,5555695287
534,1.0,5555695288
535,1.0,5555695289
536,,5555695290
537,1.0,5555695291
538,,5555695292
539,1.0,5555695293
540,1.0,5555695294
541,1.0,5555695295
542,1.0,5555695296
543,1.0,5555695297
544,1.0,5555695298
545,1.0,5555695299
546,,5555695300
547,,5555695301
548,,5555695302
549,1.0,5555695303
550,1.0,5555695304
551,,5555695305
552,,5555695306
553,1.0,5555695307
554,,5555695308
555,1.0,5555695309
556,,5555695310
557,,5555695311
558,1.0,5555695312
559,,5555695313
560,,5555695314
561,1.0,5555695315
562,,5555695316
563,,5555695317
564,1.0,5555695318
565,1.0,5555695319
566,1.0,5555695320
567,1.0,5555695321
568,1.0,5555695322
569,,5555695323
570,1.0,5555695324
571,1.0,5555695325
572,1.0,5555695326
573,,5555695327
574,1.0,5555695328
575,1.0,5555695329
576,1.0,5555695330
577,1.0,5555695331
578,1.0,5555695332
579,1.0,5555695333
580,,5555695334
581,1.0,5555695335
582,,5555695336
583,1.0,5555695337
584,,5555695338
585,,5555695339
586,,5555695340
587,1.0,5555695341
588,1.0,5555695342
589,,5555695343
590,,5555695344
591,1.0,5555695345
592,1.0,5555695346
593,,5555695347
594,1.0,5555695348
595,1.0,5555695349
596,1.0,5555695350
597,1.0,5555695351
598,1.0,5555695352
599,,5555695353
600,1.0,5555695354
601,1.0,5555695355
602,1.0,5555695356
603,,5555695357
604,1.0,5555695358
605,,5555695359
606,,5555695360
607,1.0,5555695361
608,1.0,5555695362
609,1.0,5555695363
610,,5555695364
611,1.0,5555695365
612,1.0,5555695366
613,1.0,5555695367
614,1.0,5555695368
615,1.0,5555695369
616,,5555695370
617,1.0,5555695371
618,1.0,5555695372
619,1.0,5555695373
620,,5555695374
621,1.0,5555695375
622,,5555695376
623,1.0,5555695377
624,1.0,5555695378
625,,5555695379
626,1.0,5555695380
627,1.0,5555695381
628,1.0,5555695382
629,1.0,5555695383
630,1.0,5555695384
631,1.0,5555695385
632,1.0,5555695386
633,,5555695387
634,1.0,5555695388
635,,5555695389
636,1.0,5555695390
637,1.0,5555695391
638,1.0,5555695392
639,1.0,5555695393
640,1.0,5555695394
641,1.0,5555695395
642,,5555695396
643,,5555695397
644,1.0,5555695398
645,1.0,5555695399
646,,5555695400
647,1.0,5555695401
648,,5555695402
649,,5555695403
650,,5555695404
651,1.0,5555695405
652,,5555695406
653,,5555695407
654,1.0,5555695408
655,1.0,5555695409
656,1.0,5555695410
657,,5555695411
658,1.0,5555695412
659,1.0,5555695413
660,1.0,5555695414
661,1.0,5555695415
662,,5555695416
663,1.0,5555695417
664,,5555695418
665,,5555695419
