subscription,subscription_amount,visit_id
1.0,108.0,5555694754
1.0,145.0,5555694758
1.0,141.0,5555694759
1.0,103.0,5555694764
1.0,131.0,5555694765
1.0,125.0,5555694766
1.0,150.0,5555694767
1.0,122.0,5555694768
1.0,112.0,5555694769
1.0,150.0,5555694771
1.0,122.0,5555694773
1.0,146.0,5555694774
1.0,131.0,5555694776
1.0,120.0,5555694777
1.0,103.0,5555694778
1.0,103.0,5555694780
1.0,131.0,5555694782
1.0,141.0,5555694785
1.0,141.0,5555694787
1.0,150.0,5555694788
1.0,131.0,5555694791
1.0,122.0,5555694793
1.0,112.0,5555694794
1.0,122.0,5555694796
1.0,150.0,5555694798
1.0,122.0,5555694799
1.0,107.0,5555694800
1.0,112.0,5555694802
1.0,39.0,5555694807
1.0,141.0,5555694811
1.0,109.0,5555694812
1.0,150.0,5555694813
1.0,130.0,5555694814
1.0,131.0,5555694818
1.0,131.0,5555694820
1.0,113.0,5555694821
1.0,142.0,5555694823
1.0,112.0,5555694824
1.0,150.0,5555694827
1.0,131.0,5555694828
1.0,133.0,5555694829
1.0,112.0,5555694833
1.0,141.0,5555694836
1.0,141.0,5555694840
1.0,109.0,5555694842
1.0,26.0,5555694844
1.0,150.0,5555694847
1.0,103.0,5555694848
1.0,141.0,5555694851
1.0,106.0,5555694852
1.0,116.0,5555694853
1.0,150.0,5555694857
1.0,131.0,5555694859
1.0,119.0,5555694860
1.0,103.0,5555694861
1.0,105.0,5555694862
1.0,106.0,5555694870
1.0,131.0,5555694873
1.0,139.0,5555694876
1.0,131.0,5555694880
1.0,116.0,5555694885
1.0,102.0,5555694891
1.0,131.0,5555694893
1.0,112.0,5555694898
1.0,51.0,5555694899
1.0,131.0,5555694901
1.0,122.0,5555694903
1.0,112.0,5555694906
1.0,103.0,5555694908
1.0,131.0,5555694914
1.0,132.0,5555694915
1.0,122.0,5555694917
1.0,103.0,5555694923
1.0,150.0,5555694924
1.0,131.0,5555694926
1.0,141.0,5555694931
1.0,103.0,5555694933
1.0,131.0,5555694935
1.0,137.0,5555694937
1.0,150.0,5555694940
1.0,150.0,5555694946
1.0,140.0,5555694949
1.0,122.0,5555694952
1.0,150.0,5555694953
1.0,103.0,5555694956
1.0,96.0,5555694957
1.0,150.0,5555694958
1.0,123.0,5555694959
1.0,112.0,5555694961
1.0,150.0,5555694965
1.0,112.0,5555694970
1.0,150.0,5555694971
1.0,131.0,5555694972
1.0,97.0,5555694976
1.0,108.0,5555694977
1.0,103.0,5555694983
1.0,150.0,5555694987
1.0,131.0,5555694989
1.0,138.0,5555694992
1.0,112.0,5555694994
1.0,141.0,5555694995
1.0,142.0,5555694996
1.0,122.0,5555694998
1.0,141.0,5555695004
1.0,150.0,5555695005
1.0,103.0,5555695006
1.0,103.0,5555695007
1.0,130.0,5555695014
1.0,122.0,5555695016
1.0,150.0,5555695018
1.0,123.0,5555695020
1.0,150.0,5555695021
1.0,141.0,5555695022
1.0,103.0,5555695026
1.0,122.0,5555695027
1.0,136.0,5555695030
1.0,96.0,5555695033
1.0,128.0,5555695034
1.0,141.0,5555695037
1.0,103.0,5555695038
1.0,113.0,5555695042
1.0,134.0,5555695043
1.0,142.0,5555695045
1.0,125.0,5555695046
1.0,97.0,5555695047
1.0,133.0,5555695052
1.0,103.0,5555695053
1.0,131.0,5555695055
1.0,122.0,5555695057
1.0,131.0,5555695060
1.0,131.0,5555695068
1.0,150.0,5555695080
1.0,131.0,5555695082
1.0,122.0,5555695083
1.0,99.0,5555695084
1.0,103.0,5555695088
1.0,131.0,5555695089
1.0,113.0,5555695091
1.0,122.0,5555695095
1.0,135.0,5555695096
1.0,150.0,5555695097
1.0,141.0,5555695099
1.0,107.0,5555695100
1.0,131.0,5555695101
1.0,133.0,5555695104
1.0,112.0,5555695106
1.0,112.0,5555695108
1.0,141.0,5555695109
1.0,135.0,5555695119
1.0,141.0,5555695121
1.0,149.0,5555695124
1.0,130.0,5555695127
1.0,141.0,5555695130
1.0,134.0,5555695132
1.0,150.0,5555695135
1.0,150.0,5555695138
1.0,141.0,5555695139
1.0,150.0,5555695141
1.0,122.0,5555695146
1.0,150.0,5555695149
1.0,122.0,5555695150
1.0,122.0,5555695151
1.0,103.0,5555695154
1.0,96.0,5555695156
1.0,150.0,5555695158
1.0,98.0,5555695164
1.0,103.0,5555695168
1.0,150.0,5555695171
1.0,97.0,5555695173
1.0,104.0,5555695174
1.0,131.0,5555695175
1.0,103.0,5555695176
1.0,145.0,5555695177
1.0,97.0,5555695179
1.0,122.0,5555695180
1.0,144.0,5555695182
1.0,116.0,5555695183
1.0,103.0,5555695184
1.0,131.0,5555695185
1.0,120.0,5555695186
1.0,150.0,5555695187
1.0,39.0,5555695190
1.0,113.0,5555695193
1.0,104.0,5555695194
1.0,150.0,5555695195
1.0,141.0,5555695197
1.0,150.0,5555695199
1.0,122.0,5555695200
1.0,141.0,5555695202
1.0,141.0,5555695203
1.0,137.0,5555695205
1.0,122.0,5555695208
1.0,122.0,5555695209
1.0,141.0,5555695210
1.0,131.0,5555695211
1.0,103.0,5555695213
1.0,141.0,5555695216
1.0,131.0,5555695217
1.0,150.0,5555695218
1.0,112.0,5555695219
1.0,141.0,5555695220
1.0,137.0,5555695224
1.0,141.0,5555695225
1.0,112.0,5555695228
1.0,131.0,5555695231
1.0,141.0,5555695235
1.0,141.0,5555695238
1.0,150.0,5555695244
1.0,141.0,5555695245
1.0,128.0,5555695246
1.0,149.0,5555695247
1.0,112.0,5555695249
1.0,131.0,5555695251
1.0,122.0,5555695254
1.0,131.0,5555695256
1.0,150.0,5555695258
1.0,150.0,5555695259
1.0,130.0,5555695262
1.0,122.0,5555695263
1.0,141.0,5555695265
1.0,103.0,5555695267
1.0,112.0,5555695268
1.0,122.0,5555695278
1.0,150.0,5555695282
1.0,103.0,5555695285
1.0,150.0,5555695288
1.0,150.0,5555695291
1.0,141.0,5555695292
1.0,131.0,5555695293
1.0,139.0,5555695301
1.0,126.0,5555695303
1.0,150.0,5555695304
1.0,103.0,5555695308
1.0,112.0,5555695309
1.0,150.0,5555695310
1.0,150.0,5555695311
1.0,112.0,5555695313
1.0,122.0,5555695319
1.0,150.0,5555695320
1.0,131.0,5555695321
1.0,119.0,5555695323
1.0,100.0,5555695327
1.0,141.0,5555695328
1.0,131.0,5555695332
1.0,145.0,5555695339
1.0,112.0,5555695341
1.0,98.0,5555695343
1.0,118.0,5555695345
1.0,146.0,5555695354
1.0,122.0,5555695357
1.0,141.0,5555695358
1.0,103.0,5555695362
1.0,125.0,5555695363
1.0,150.0,5555695368
1.0,119.0,5555695382
1.0,140.0,5555695383
1.0,122.0,5555695384
1.0,150.0,5555695386
1.0,114.0,5555695388
1.0,103.0,5555695389
1.0,131.0,5555695396
1.0,150.0,5555695398
1.0,112.0,5555695400
1.0,143.0,5555695401
1.0,103.0,5555695402
1.0,150.0,5555695407
1.0,131.0,5555695410
1.0,122.0,5555695411
1.0,149.0,5555695413
1.0,150.0,5555695424
1.0,128.0,5555695426
1.0,131.0,5555695429
1.0,150.0,5555695430
1.0,103.0,5555695432
1.0,141.0,5555695435
1.0,106.0,5555695439
1.0,97.0,5555695440
1.0,103.0,5555695441
1.0,77.0,5555695442
1.0,98.0,5555695444
1.0,150.0,5555695447
1.0,122.0,5555695448
1.0,102.0,5555695449
1.0,112.0,5555695450
1.0,103.0,5555695452
1.0,112.0,5555695456
1.0,113.0,5555695459
1.0,103.0,5555695462
1.0,150.0,5555695464
1.0,103.0,5555695467
1.0,61.0,5555695469
1.0,122.0,5555695472
1.0,131.0,5555695474
1.0,150.0,5555695477
1.0,133.0,5555695480
1.0,150.0,5555695483
1.0,141.0,5555695485
1.0,150.0,5555695486
1.0,141.0,5555695487
1.0,63.0,5555695490
1.0,148.0,5555695494
1.0,144.0,5555695495
1.0,131.0,5555695496
1.0,150.0,5555695499
1.0,150.0,5555695502
1.0,122.0,5555695508
1.0,112.0,5555695509
1.0,120.0,5555695511
1.0,66.0,5555695515
1.0,136.0,5555695521
1.0,103.0,5555695525
1.0,129.0,5555695529
1.0,130.0,5555695530
1.0,133.0,5555695534
1.0,141.0,5555695538
1.0,150.0,5555695539
1.0,150.0,5555695543
1.0,130.0,5555695546
1.0,131.0,5555695548
1.0,112.0,5555695549
1.0,143.0,5555695550
1.0,103.0,5555695551
1.0,103.0,5555695552
1.0,150.0,5555695557
1.0,144.0,5555695558
1.0,112.0,5555695562
1.0,137.0,5555695563
1.0,123.0,5555695565
1.0,111.0,5555695568
1.0,146.0,5555695569
1.0,113.0,5555695570
1.0,150.0,5555695572
1.0,150.0,5555695573
1.0,150.0,5555695574
1.0,141.0,5555695579
1.0,112.0,5555695584
1.0,149.0,5555695585
1.0,136.0,5555695590
1.0,139.0,5555695600
1.0,128.0,5555695601
1.0,145.0,5555695602
1.0,150.0,5555695603
1.0,130.0,5555695604
1.0,150.0,5555695605
1.0,122.0,5555695608
1.0,122.0,5555695611
1.0,112.0,5555695612
1.0,112.0,5555695613
1.0,103.0,5555695614
1.0,112.0,5555695619
1.0,131.0,5555695620
1.0,131.0,5555695625
1.0,131.0,5555695630
1.0,147.0,5555695631
1.0,112.0,5555695635
1.0,150.0,5555695639
1.0,141.0,5555695640
1.0,142.0,5555695646
1.0,103.0,5555695648
1.0,100.0,5555695649
1.0,107.0,5555695650
1.0,121.0,5555695651
1.0,112.0,5555695655
1.0,141.0,5555695656
1.0,150.0,5555695658
1.0,131.0,5555695660
1.0,101.0,5555695664
1.0,122.0,5555695665
1.0,106.0,5555695667
1.0,122.0,5555695669
1.0,112.0,5555695675
1.0,150.0,5555695677
1.0,112.0,5555695679
1.0,150.0,5555695680
1.0,141.0,5555695681
1.0,112.0,5555695685
1.0,103.0,5555695688
1.0,131.0,5555695691
1.0,97.0,5555695696
1.0,124.0,5555695700
1.0,147.0,5555695702
1.0,131.0,5555695703
1.0,134.0,5555695704
1.0,101.0,5555695705
1.0,112.0,5555695707
1.0,135.0,5555695712
1.0,117.0,5555695713
1.0,150.0,5555695714
1.0,131.0,5555695715
1.0,124.0,5555695718
1.0,141.0,5555695722
1.0,141.0,5555695724
1.0,103.0,5555695729
1.0,117.0,5555695734
1.0,131.0,5555695735
1.0,116.0,5555695737
1.0,141.0,5555695738
1.0,150.0,5555695741
1.0,44.0,5555695746
1.0,98.0,5555695747
1.0,150.0,5555695749
1.0,150.0,5555695753
1.0,103.0,5555695754
1.0,124.0,5555695755
1.0,112.0,5555695757
1.0,28.0,5555695758
1.0,98.0,5555695764
1.0,150.0,5555695765
1.0,123.0,5555695767
1.0,150.0,5555695768
1.0,131.0,5555695769
1.0,142.0,5555695772
1.0,129.0,5555695773
1.0,112.0,5555695776
1.0,114.0,5555695777
1.0,131.0,5555695779
1.0,119.0,5555695783
1.0,103.0,5555695784
1.0,122.0,5555695785
1.0,104.0,5555695787
1.0,128.0,5555695791
1.0,112.0,5555695792
1.0,131.0,5555695794
1.0,97.0,5555695797
1.0,103.0,5555695800
1.0,150.0,5555695803
1.0,111.0,5555695806
1.0,112.0,5555695809
1.0,150.0,5555695816
1.0,150.0,5555695821
1.0,150.0,5555695822
1.0,150.0,5555695825
1.0,141.0,5555695826
1.0,103.0,5555695830
1.0,122.0,5555695831
1.0,141.0,5555695836
1.0,122.0,5555695838
1.0,112.0,5555695839
1.0,122.0,5555695840
1.0,141.0,5555695843
1.0,138.0,5555695844
1.0,131.0,5555695845
1.0,150.0,5555695847
1.0,112.0,5555695854
1.0,103.0,5555695856
1.0,150.0,5555695857
1.0,102.0,5555695859
1.0,120.0,5555695861
1.0,150.0,5555695863
1.0,126.0,5555695865
1.0,131.0,5555695868
1.0,150.0,5555695870
1.0,150.0,5555695874
1.0,141.0,5555695876
1.0,112.0,5555695880
1.0,141.0,5555695885
1.0,118.0,5555695886
1.0,127.0,5555695887
1.0,113.0,5555695888
1.0,141.0,5555695890
1.0,98.0,5555695891
1.0,131.0,5555695893
1.0,141.0,5555695895
1.0,122.0,5555695897
1.0,141.0,5555695900
1.0,150.0,5555695901
1.0,103.0,5555695903
1.0,103.0,5555695905
1.0,122.0,5555695908
1.0,103.0,5555695909
1.0,131.0,5555695911
1.0,122.0,5555695918
1.0,141.0,5555695919
1.0,122.0,5555695920
1.0,129.0,5555695922
1.0,150.0,5555695923
1.0,150.0,5555695924
1.0,131.0,5555695927
1.0,141.0,5555695929
1.0,112.0,5555695931
1.0,97.0,5555695933
1.0,103.0,5555695934
1.0,138.0,5555695936
1.0,150.0,5555695937
1.0,104.0,5555695940
1.0,104.0,5555695942
1.0,150.0,5555695945
1.0,141.0,5555695946
1.0,128.0,5555695949
1.0,96.0,5555695950
1.0,150.0,5555695952
1.0,96.0,5555695953
1.0,141.0,5555695954
1.0,95.0,5555695955
1.0,109.0,5555695957
1.0,112.0,5555695960
1.0,141.0,5555695962
1.0,150.0,5555695963
1.0,150.0,5555695964
1.0,150.0,5555695965
1.0,112.0,5555695968
1.0,122.0,5555695970
1.0,109.0,5555695972
1.0,103.0,5555695979
1.0,150.0,5555695981
1.0,150.0,5555695982
1.0,122.0,5555695983
1.0,112.0,5555695986
1.0,141.0,5555695988
1.0,101.0,5555695993
1.0,131.0,5555695994
1.0,131.0,5555695996
1.0,131.0,5555695997
1.0,107.0,5555696001
1.0,150.0,5555696003
1.0,128.0,5555696004
1.0,112.0,5555696006
1.0,150.0,5555696007
1.0,111.0,5555696010
1.0,150.0,5555696011
1.0,110.0,5555696012
1.0,150.0,5555696015
1.0,131.0,5555696020
1.0,112.0,5555696022
1.0,150.0,5555696023
1.0,131.0,5555696024
1.0,131.0,5555696026
1.0,150.0,5555696031
1.0,122.0,5555696033
1.0,131.0,5555696035
1.0,150.0,5555696038
1.0,126.0,5555696039
1.0,103.0,5555696042
1.0,141.0,5555696044
1.0,131.0,5555696047
1.0,141.0,5555696048
1.0,122.0,5555696051
1.0,150.0,5555696054
1.0,141.0,5555696055
1.0,150.0,5555696059
1.0,150.0,5555696060
1.0,122.0,5555696063
1.0,134.0,5555696064
1.0,150.0,5555696069
1.0,97.0,5555696071
1.0,150.0,5555696074
1.0,122.0,5555696075
1.0,132.0,5555696078
1.0,150.0,5555696079
1.0,141.0,5555696082
1.0,96.0,5555696093
1.0,104.0,5555696099
1.0,150.0,5555696100
1.0,131.0,5555696101
1.0,112.0,5555696103
1.0,112.0,5555696104
1.0,150.0,5555696105
1.0,133.0,5555696106
1.0,141.0,5555696114
1.0,136.0,5555696115
1.0,102.0,5555696116
1.0,150.0,5555696117
1.0,139.0,5555696118
1.0,118.0,5555696120
1.0,106.0,5555696121
1.0,103.0,5555696122
1.0,150.0,5555696130
1.0,131.0,5555696132
1.0,110.0,5555696135
1.0,150.0,5555696141
1.0,103.0,5555696142
1.0,112.0,5555696144
1.0,122.0,5555696153
1.0,150.0,5555696154
1.0,130.0,5555696157
1.0,147.0,5555696158
1.0,131.0,5555696160
1.0,112.0,5555696162
1.0,112.0,5555696169
1.0,150.0,5555696171
1.0,142.0,5555696172
1.0,150.0,5555696173
1.0,130.0,5555696175
1.0,149.0,5555696176
1.0,112.0,5555696178
1.0,150.0,5555696179
1.0,150.0,5555696183
1.0,112.0,5555696184
1.0,145.0,5555696185
1.0,112.0,5555696187
1.0,112.0,5555696191
1.0,109.0,5555696193
1.0,134.0,5555696195
1.0,123.0,5555696201
1.0,150.0,5555696204
1.0,60.0,5555696206
1.0,122.0,5555696207
1.0,141.0,5555696208
1.0,103.0,5555696210
1.0,141.0,5555696213
1.0,122.0,5555696220
1.0,150.0,5555696224
1.0,132.0,5555696226
1.0,131.0,5555696231
1.0,112.0,5555696234
1.0,112.0,5555696235
1.0,141.0,5555696241
1.0,141.0,5555696244
1.0,141.0,5555696246
1.0,101.0,5555696250
1.0,131.0,5555696255
1.0,141.0,5555696256
1.0,122.0,5555696258
1.0,102.0,5555696259
1.0,131.0,5555696260
1.0,133.0,5555696262
1.0,98.0,5555696263
1.0,122.0,5555696265
1.0,150.0,5555696266
1.0,122.0,5555696269
1.0,141.0,5555696275
1.0,131.0,5555696280
1.0,131.0,5555696282
1.0,140.0,5555696283
1.0,112.0,5555696285
1.0,131.0,5555696287
1.0,103.0,5555696288
1.0,150.0,5555696289
1.0,118.0,5555696290
1.0,131.0,5555696291
1.0,141.0,5555696292
1.0,111.0,5555696298
1.0,131.0,5555696307
1.0,96.0,5555696310
1.0,141.0,5555696315
1.0,103.0,5555696316
1.0,150.0,5555696317
1.0,119.0,5555696319
1.0,131.0,5555696320
1.0,150.0,5555696321
1.0,103.0,5555696324
1.0,103.0,5555696327
1.0,150.0,5555696330
1.0,122.0,5555696331
1.0,141.0,5555696333
1.0,112.0,5555696336
